test_index,posterior_probability,predictive_entropy,status
59,0.3816261452990254,0.6648545942499664,correct
60,0.3411263820204625,0.641779775118759,incorrect
61,0.5007198840785861,0.693146144093414,incorrect
62,0.4083199464316677,0.6762412287724949,incorrect
63,0.41310985931696337,0.6779704529930334,incorrect
64,0.6998628999652277,0.6109804218715298,correct
65,0.5803413783056462,0.6801815731386329,correct
66,0.37295575673334064,0.6605100647508861,correct
67,0.4836898304149157,0.6926150428992943,incorrect
68,0.36545889043832375,0.6564945167526803,correct
69,0.8161048855978226,0.4772487244380592,incorrect
70,0.676748511462856,0.6292960885067203,correct
71,0.5212858382894683,0.6922407328209541,incorrect
72,0.6806382082107765,0.6263874579753544,correct
73,0.6429021410565664,0.651730107421358,correct
74,0.6411498457430643,0.6527537442020285,correct
75,0.5849659861468799,0.6786384381623902,incorrect
76,0.4408246019018204,0.6861272833213093,incorrect
77,0.3597044802930805,0.6532479738051773,correct
78,0.3137066170630203,0.6220343546981908,incorrect
79,0.3798096504567301,0.6639708643829851,correct
80,0.39214857287078125,0.6696994738132644,incorrect
81,0.5026080146523794,0.6931335770174056,incorrect
82,0.3926137542353114,0.6699029041748504,correct
83,0.6936600777750687,0.6161407830425043,correct
84,0.6099076134222414,0.6687893945585375,correct
85,0.5086329284196854,0.6929981182470748,correct
86,0.4087417743505703,0.6763973228509422,incorrect
87,0.37469121860188764,0.6614053012806376,incorrect
88,0.35124581716606734,0.6482144394477178,incorrect
89,0.4294311318591782,0.6831539172005184,incorrect
90,0.3873808991083544,0.6675621021294631,correct
91,0.4344743547192866,0.6845352096327699,correct
92,0.6092948676476323,0.6690624563937309,incorrect
93,0.4912027986442283,0.692992391069797,correct
94,0.591608507916488,0.6762677555336368,correct
95,0.4690405337348913,0.6912289766409634,correct
96,0.3567265794229354,0.6515115012338746,correct
97,0.6298237483887262,0.6590494181246983,correct
98,0.6968689495005694,0.6134939389155667,correct
99,0.5015289242980465,0.6931425053336411,incorrect
100,0.2410715341995086,0.552311919361279,correct
101,0.30585432552040887,0.6157433563077195,incorrect
102,0.6077325233163716,0.6697515584757283,incorrect
103,0.6094688730571814,0.6689850736321823,correct
104,0.3952451147447695,0.671036561920849,correct
105,0.38895534912006496,0.6682785074077133,incorrect
106,0.39912813178789547,0.6726565708313248,correct
107,0.5549827209127723,0.687088736528227,incorrect
108,0.7060226885764892,0.6056745924765146,correct
109,0.4452751015081276,0.6871455353057541,incorrect
110,0.4260849692412825,0.6821801662036071,incorrect
111,0.5085769157459498,0.6930000463762215,incorrect
112,0.5913211698642988,0.6763740775849615,correct
113,0.3330245306828715,0.6362999080172216,correct
114,0.33190929299212407,0.6355225327335849,correct
115,0.47098467153610407,0.6914624556761627,correct
116,0.5234419745549621,0.6920477252247565,correct
117,0.44655507571738334,0.68742353228475,correct
118,0.3638376449982443,0.6555943265966553,incorrect
119,0.3012957065151033,0.6119581574172108,correct
120,0.2530305499392502,0.5656401182475165,correct
121,0.6679790203952966,0.635600636344938,correct
122,0.633727842678855,0.6569418097418583,correct
123,0.4168292977375877,0.6792479324246299,correct
124,0.38233082779974087,0.6651936586244076,correct
125,0.49679261307292677,0.6931266057570376,incorrect
126,0.4415481341058781,0.6862982891991046,correct
127,0.2627539041035847,0.5759177501732196,correct
128,0.7170487218268543,0.5957191301691693,correct
129,0.3927507597884509,0.6699626456303078,correct
130,0.7146974978489229,0.5978918595669207,correct
131,0.4392544986280958,0.6857488856865372,incorrect
132,0.35464313667148234,0.6502736365516324,correct
133,0.39354601811691886,0.6703078651049013,incorrect
134,0.2891018254701771,0.6013455112453279,correct
135,0.5150203863038448,0.692695888658299,correct
136,0.4993158460355954,0.6931462444263592,correct
137,0.581662546493071,0.6797496989841534,correct
138,0.5479234203661618,0.6885468133222163,incorrect
139,0.33416247643499675,0.6370873403119499,correct
140,0.3625520933198899,0.6548724578022929,correct
141,0.36676119809332797,0.6572094078137305,incorrect
142,0.35088292324075476,0.6479914904979553,incorrect
143,0.5585711354321533,0.6862702461587873,incorrect
144,0.6363628990190383,0.6554821865298963,incorrect
145,0.49213873298976923,0.6930235764291888,incorrect
146,0.40656968508021074,0.6755856877938191,incorrect
147,0.5354143723874508,0.6906367235143106,incorrect
148,0.4473189198444561,0.6875862725798045,correct
149,0.46725019740638657,0.6910005449651138,correct
150,0.6549188278610106,0.6443483998999406,correct
151,0.5300096365491911,0.6913449410387709,incorrect
152,0.647150825221975,0.6491925708186022,correct
153,0.2697865625368393,0.583046434825595,correct
154,0.37764439831390295,0.6628991604450265,correct
155,0.5397038936716785,0.6899910604499513,correct
156,0.29556150412776494,0.6070565351662037,incorrect
157,0.636733252866993,0.6552746354388115,correct
158,0.41203640468823605,0.677591160229041,incorrect
159,0.47242381608595907,0.6916255167444321,correct
160,0.3693487219939902,0.6586081495265399,incorrect
161,0.7288095017689084,0.5844393445181719,correct
162,0.5384306375426074,0.6901904374953698,incorrect
