method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,train_n,repeat
L1 Logistic,500,0.012105125002563,0.00830691703595221,0.49666666666666665,0.4966666666666667,0.48738888888888887,0.49498327759197325,200,3
Linear SVM,500,0.013260292005725205,0.010135666991118342,0.5083333333333333,0.5083333333333333,0.5136666666666666,0.5171849427168577,200,3
RBF-SVM,500,0.04166529199574143,0.06080662499880418,0.5416666666666666,0.5416666666666667,0.5,0.56,200,3
Random Forest,500,0.19621158397058025,0.055061332997865975,0.5466666666666666,0.5466666666666666,0.5625055555555556,0.5584415584415584,200,3
Logistic Regression,500,0.014810874999966472,0.008071042015217245,0.5316666666666666,0.5316666666666667,0.5401555555555555,0.5415986949429038,200,4
L1 Logistic,500,0.00939566595479846,0.009611083019990474,0.5166666666666667,0.5166666666666666,0.5315,0.5230263157894737,200,4
Linear SVM,500,0.012943707988597453,0.008661833009682596,0.525,0.525,0.5361111111111111,0.544,200,4
RBF-SVM,500,0.039252249989658594,0.06489483400946483,0.5433333333333333,0.5433333333333333,0.4453444444444445,0.5522875816993464,200,4
Random Forest,500,0.18723616597708315,0.05480520805576816,0.5316666666666666,0.5316666666666667,0.5519555555555555,0.5196581196581197,200,4
Logistic Regression,500,0.02858820802066475,0.009571500006131828,0.5666666666666667,0.5666666666666667,0.5752111111111111,0.5792880258899676,500,0
L1 Logistic,500,0.021107500011567026,0.00920862500788644,0.5566666666666666,0.5566666666666666,0.5916,0.5625,500,0
Linear SVM,500,1.4764388339826837,0.010535583016462624,0.5516666666666666,0.5516666666666666,0.5645777777777777,0.5597381342062193,500,0
RBF-SVM,500,0.19759420800255612,0.1319270419771783,0.5766666666666667,0.5766666666666667,0.6063,0.5794701986754967,500,0
Random Forest,500,0.1821789590176195,0.05552258301759139,0.5933333333333334,0.5933333333333334,0.6639888888888889,0.5749128919860628,500,0
Logistic Regression,500,0.0683487500064075,0.007877208001445979,0.53,0.53,0.5484222222222221,0.5331125827814569,500,1
L1 Logistic,500,0.03087266703369096,0.008932958007790148,0.5483333333333333,0.5483333333333333,0.5505666666666666,0.5351629502572899,500,1
Linear SVM,500,1.165223124960903,0.009253124997485429,0.535,0.535,0.5431111111111111,0.5279187817258884,500,1
RBF-SVM,500,0.18818474997533485,0.12832675001118332,0.57,0.5700000000000001,0.5804944444444444,0.5770491803278689,500,1
Random Forest,500,0.16988816700177267,0.052295458037406206,0.6183333333333333,0.6183333333333333,0.6777833333333334,0.6072041166380789,500,1
Logistic Regression,500,0.031097375031094998,0.008221124997362494,0.52,0.52,0.5374111111111111,0.5309446254071661,500,2
