component,explained_variance_ratio,cumulative_explained_variance
248,0.0018161263128866393,0.7219147543532785
249,0.0018111827847373302,0.7237259371380158
250,0.0018084903525766656,0.7255344274905925
251,0.0018053619315612612,0.7273397894221537
252,0.001798084926604603,0.7291378743487583
253,0.0017919633168394238,0.7309298376655977
254,0.0017901873191026514,0.7327200249847003
255,0.0017776020804224377,0.7344976270651228
256,0.0017685282638244845,0.7362661553289472
257,0.0017655226558814716,0.7380316779848287
258,0.0017622264980297181,0.7397939044828584
259,0.0017502120187257895,0.7415441165015842
260,0.0017477670038305725,0.7432918835054149
261,0.001741357321651447,0.7450332408270663
262,0.0017362096691815737,0.7467694504962479
263,0.0017295543177711415,0.748499004814019
264,0.0017275739902472404,0.7502265788042662
265,0.0017180175141224615,0.7519445963183887
266,0.00171635562291481,0.7536609519413036
267,0.0017122625826166222,0.7553732145239201
268,0.001700311082983944,0.7570735256069041
269,0.0016911571844054046,0.7587646827913095
270,0.0016870786448378071,0.7604517614361473
271,0.0016845422853570759,0.7621363037215044
272,0.0016825253553216968,0.7638188290768261
273,0.001670523401768877,0.765489352478595
274,0.0016674708188778743,0.7671568232974728
275,0.0016603037586795518,0.7688171270561523
276,0.0016521404749713932,0.7704692675311238
277,0.0016472171185841406,0.772116484649708
278,0.001645432912703577,0.7737619175624115
279,0.001640493558838144,0.7754024111212496
280,0.0016327614616510938,0.7770351725829008
281,0.001624379231409468,0.7786595518143102
282,0.0016212126576792285,0.7802807644719895
283,0.0016164430120453814,0.7818972074840348
284,0.0016086170938253142,0.7835058245778601
285,0.0016006464033029302,0.785106470981163
286,0.0015944104941669841,0.78670088147533
287,0.001589382412242595,0.7882902638875726
288,0.0015851073591616484,0.7898753712467342
289,0.0015810024753412245,0.7914563737220754
290,0.0015769466724922284,0.7930333203945676
291,0.0015722142211451644,0.7946055346157128
292,0.0015680771098394615,0.7961736117255522
293,0.0015613415374742766,0.7977349532630265
294,0.0015583907430099157,0.7992933440060364
295,0.001545836336274792,0.8008391803423112
296,0.001543174040394327,0.8023823543827054
297,0.0015408886482432983,0.8039232430309488
298,0.0015324387334933918,0.8054556817644422
299,0.0015259924486559664,0.8069816742130981
300,0.0015186851678872003,0.8085003593809853
301,0.0015094037629104383,0.8100097631438957
302,0.0015063146151563778,0.8115160777590521
303,0.001500840338415031,0.8130169180974671
304,0.0014954849211803788,0.8145124030186475
305,0.0014889418243986645,0.8160013448430461
306,0.0014837949556967631,0.8174851397987428
307,0.0014830947724367015,0.8189682345711795
308,0.001476542888224937,0.8204447774594045
309,0.0014698046540614297,0.8219145821134659
310,0.0014629945929813472,0.8233775767064473
311,0.0014553555376429943,0.8248329322440903
312,0.0014493467206061054,0.8262822789646964
313,0.0014447812681129045,0.8277270602328093
314,0.0014428696263927795,0.829169929859202
315,0.0014385117068540833,0.8306084415660561
316,0.0014358182826848945,0.832044259848741
317,0.0014236923916947383,0.8334679522404357
318,0.0014227610244914087,0.8348907132649271
319,0.0014187002790189945,0.8363094135439462
320,0.00141027341069898,0.8377196869546452
321,0.0014062475699497872,0.8391259345245949
322,0.0014027122288021753,0.8405286467533971
323,0.001391160607014414,0.8419198073604115
324,0.0013866736662999104,0.8433064810267115
325,0.0013784425957184896,0.84468492362243
326,0.0013777115484345191,0.8460626351708644
327,0.0013727559347436065,0.8474353911056081
328,0.001370522700875454,0.8488059138064835
329,0.0013599196881187575,0.8501658334946023
330,0.0013582242870254142,0.8515240577816277
331,0.0013536082840759523,0.8528776660657036
332,0.0013450868469536091,0.8542227529126571
333,0.0013427778631353005,0.8555655307757924
334,0.0013320592553263714,0.8568975900311189
335,0.0013271278189845273,0.8582247178501033
336,0.0013223729102586374,0.859547090760362
337,0.0013188791808227214,0.8608659699411847
338,0.0013126866858214634,0.8621786566270062
339,0.0013088818818213805,0.8634875385088276
340,0.0012992266984710853,0.8647867652072987
341,0.0012925636526864564,0.8660793288599852
342,0.0012880262547215109,0.8673673551147066
343,0.0012824625350580357,0.8686498176497647
344,0.001278259081258707,0.8699280767310233
345,0.0012747860082216822,0.8712028627392451
346,0.0012703845794437274,0.8724732473186888
347,0.0012674479571126614,0.8737406952758014
348,0.0012602832756646533,0.8750009785514661
349,0.0012567852708998556,0.876257763822366
350,0.0012511953384062358,0.8775089591607722
351,0.0012453728175434303,0.8787543319783157
352,0.0012417746225685318,0.8799961066008842
353,0.0012330917012235453,0.8812291983021078
354,0.0012279736634669604,0.8824571719655747
355,0.0012226476831791403,0.8836798196487539
356,0.0012182185221812946,0.8848980381709352
357,0.0012151142565569783,0.8861131524274921
358,0.001208143132136927,0.887321295559629
359,0.0012022964748030815,0.8885235920344321
360,0.0012017518739795643,0.8897253439084116
361,0.0011919897202611425,0.8909173336286728
362,0.0011880420135674575,0.8921053756422402
363,0.001183199867566494,0.8932885755098068
364,0.0011805743339446486,0.8944691498437515
365,0.0011714912681857004,0.8956406411119372
366,0.0011676037016464045,0.8968082448135836
367,0.0011576580876799273,0.8979659029012635
368,0.0011562652799562104,0.8991221681812197
369,0.0011496138714370977,0.9002717820526568
370,0.0011486302795415532,0.9014204123321984
371,0.0011372320138596159,0.902557644346058
372,0.0011336442613166808,0.9036912886073747
373,0.0011312295436508503,0.9048225181510255
374,0.0011241215704398614,0.9059466397214654
375,0.001122040938871684,0.9070686806603371
376,0.0011184118554782246,0.9081870925158153
377,0.001111298722978349,0.9092983912387936
378,0.0011055920905787945,0.9104039833293724
379,0.001102385545326035,0.9115063688746985
380,0.0010971862951641657,0.9126035551698627
381,0.0010900658138180746,0.9136936209836808
382,0.0010860564117621968,0.914779677395443
383,0.0010793629018872417,0.9158590402973302
384,0.0010766400783143726,0.9169356803756445
385,0.0010722853611305247,0.9180079657367751
386,0.0010661360401542032,0.9190741017769293
387,0.0010603013534597266,0.920134403130389
388,0.0010585329194979871,0.921192936049887
389,0.0010551306355023869,0.9222480666853893
390,0.0010454321188733636,0.9232934988042626
391,0.0010352229677964902,0.924328721772059
392,0.0010335345292601533,0.9253622563013192
393,0.001028957035593085,0.9263912133369123
394,0.0010265396477624515,0.9274177529846748
395,0.0010203815068594343,0.9284381344915342
396,0.0010161847843559114,0.9294543192758902
397,0.0010095771684061102,0.9304638964442963
398,0.001003963398908775,0.931467859843205
399,0.0010010884346189973,0.932468948277824
400,0.0009978219604098186,0.9334667702382339
401,0.000991844916015365,0.9344586151542492
402,0.000988426061487373,0.9354470412157366
403,0.000985835539251596,0.9364328767549882
404,0.000983249865168207,0.9374161266201564
405,0.0009752565949345051,0.9383913832150909
406,0.0009729259656763748,0.9393643091807672
407,0.0009717908962738118,0.940336100077041
408,0.0009643639204973177,0.9413004639975384
409,0.0009593265333432507,0.9422597905308817
410,0.0009531621109917592,0.9432129526418734
411,0.0009485188527213023,0.9441614714945947
412,0.00094753579380415,0.9451090072883989
413,0.0009417931371821318,0.946050800425581
414,0.00093596704547297,0.9469867674710539
415,0.000932121997427393,0.9479188894684814
416,0.0009297075873389397,0.9488485970558203
