method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,feature_selection,k,classifier
Random Forest + RBF-SVM,50,1.0356537909829058,0.1586442079860717,0.75,0.75,0.8217500000000001,0.7474747474747475,Random Forest,50,RBF-SVM
Random Forest + Random Forest,50,0.2924364999635145,0.07107095897663385,0.8616666666666667,0.8616666666666666,0.9466777777777778,0.8618968386023295,Random Forest,50,Random Forest
Random Forest + Gradient Boosting,50,1.9741679999860935,0.0035510410089045763,0.78,0.78,0.8618777777777777,0.7785234899328859,Random Forest,50,Gradient Boosting
Random Forest + Logistic Regression,100,0.0170829999842681,0.002572750032413751,0.5916666666666667,0.5916666666666667,0.6241555555555556,0.5811965811965812,Random Forest,100,Logistic Regression
Random Forest + Linear SVM,100,0.02105112501885742,0.0026414580061100423,0.5933333333333334,0.5933333333333333,0.6247888888888888,0.5807560137457045,Random Forest,100,Linear SVM
Random Forest + RBF-SVM,100,1.115531166025903,0.2045517080114223,0.6833333333333333,0.6833333333333333,0.7444555555555556,0.6843853820598007,Random Forest,100,RBF-SVM
Random Forest + Random Forest,100,0.3887700419872999,0.07297237496823072,0.8316666666666667,0.8316666666666667,0.9170388888888888,0.8291032148900169,Random Forest,100,Random Forest
Random Forest + Gradient Boosting,100,3.7486500419909135,0.004676749987993389,0.7366666666666667,0.7366666666666666,0.8306111111111111,0.7375415282392026,Random Forest,100,Gradient Boosting
Random Forest + Logistic Regression,200,0.023102084000129253,0.004127625026740134,0.5666666666666667,0.5666666666666667,0.6071333333333333,0.5622895622895623,Random Forest,200,Logistic Regression
Random Forest + Linear SVM,200,0.04804999998304993,0.004175957990810275,0.575,0.575,0.6086333333333334,0.5685279187817259,Random Forest,200,Linear SVM
Random Forest + RBF-SVM,200,1.5072241669986397,0.2366010420373641,0.6266666666666667,0.6266666666666667,0.6847055555555557,0.6164383561643836,Random Forest,200,RBF-SVM
Random Forest + Random Forest,200,0.4915642919950187,0.07316212501609698,0.79,0.79,0.8760166666666667,0.78125,Random Forest,200,Random Forest
Random Forest + Gradient Boosting,200,7.291304374986794,0.005285915976855904,0.7583333333333333,0.7583333333333333,0.8476,0.763458401305057,Random Forest,200,Gradient Boosting
Random Forest + Logistic Regression,500,0.1977934169699438,0.009630665997974575,0.58,0.58,0.5994111111111111,0.5757575757575758,Random Forest,500,Logistic Regression
Random Forest + Linear SVM,500,0.16014183301012963,0.010710750008001924,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,Random Forest,500,Linear SVM
Random Forest + RBF-SVM,500,3.2111465420457534,0.4869854580028914,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,Random Forest,500,RBF-SVM
Random Forest + Random Forest,500,0.6425372500088997,0.07727120799245313,0.715,0.715,0.7980388888888887,0.7096774193548387,Random Forest,500,Random Forest
Random Forest + Gradient Boosting,500,16.281346082978416,0.010148874949663877,0.7583333333333333,0.7583333333333333,0.8387777777777778,0.7587354409317804,Random Forest,500,Gradient Boosting
Permutation Importance + Logistic Regression,5,0.004517458961345255,0.001064916024915874,0.5966666666666667,0.5966666666666667,0.6349444444444445,0.5993377483443708,Permutation Importance,5,Logistic Regression
Permutation Importance + Linear SVM,5,0.002039209008216858,0.0007966249831952155,0.5983333333333334,0.5983333333333334,0.6354888888888889,0.6003316749585407,Permutation Importance,5,Linear SVM
Permutation Importance + RBF-SVM,5,0.3556064579752274,0.05502850003540516,0.8366666666666667,0.8366666666666667,0.9181555555555556,0.8366666666666667,Permutation Importance,5,RBF-SVM
Permutation Importance + Random Forest,5,0.21048575005261227,0.07148616597987711,0.815,0.815,0.9068666666666667,0.8165289256198347,Permutation Importance,5,Random Forest
Permutation Importance + Gradient Boosting,5,0.2727025000494905,0.0033487920300103724,0.7516666666666667,0.7516666666666667,0.8374333333333333,0.7537190082644628,Permutation Importance,5,Gradient Boosting
Permutation Importance + Logistic Regression,10,0.008516833011526614,0.0014030829770490527,0.595,0.595,0.6323333333333334,0.5970149253731343,Permutation Importance,10,Logistic Regression
Permutation Importance + Linear SVM,10,0.0027032080106437206,0.0008048329618759453,0.595,0.595,0.6321777777777777,0.5996705107084019,Permutation Importance,10,Linear SVM
Permutation Importance + RBF-SVM,10,0.3225896670483053,0.04393116704886779,0.8883333333333333,0.8883333333333333,0.9536555555555555,0.8873949579831932,Permutation Importance,10,RBF-SVM
Permutation Importance + Random Forest,10,0.22150945902103558,0.07097362499916926,0.8783333333333333,0.8783333333333334,0.9480333333333333,0.8797364085667215,Permutation Importance,10,Random Forest
