feature,anova_f,anova_p,mutual_information,l1_logistic_abs_coef,random_forest_importance,permutation_importance,permutation_importance_std,rfe_inverse_rank,rfe_rank,rank_ANOVA F-test,rank_Mutual Information,rank_L1 Logistic,rank_Random Forest,rank_Permutation Importance,rank_RFE
V308,1.4213150818561653,0.23332864375662904,0.0,0.031578167178721014,0.0013668834143307361,0.0016000000000000014,0.002653299832284322,0.14285714285714285,7,137,247,145,432,230,251
V309,0.5269311464409172,0.46798495363291603,0.0002383448414668976,0.03282313011605979,0.0016757402863175927,-0.0008000000000000007,0.002039607805437116,0.25,4,247,240,138,283,398,101
V310,2.511704487021561,0.11316189870685081,0.0,0.07036927867444295,0.002060302219062138,0.0032000000000000028,0.005600000000000005,0.3333333333333333,3,82,247,40,85,113,51
V311,0.7091842977046753,0.3998155261363345,0.014436308988378777,0.05858926582544963,0.0024261726484882903,0.004400000000000004,0.0032000000000000028,0.3333333333333333,3,222,34,64,33,70,51
V312,0.010068592026175644,0.9200825847561058,0.0,0.0,0.0017526620190397083,0.0010000000000000009,0.002720294101747091,0.14285714285714285,7,460,247,299,226,277,251
V313,0.029605127645067928,0.8634066786545566,0.008997868982093316,0.0,0.0015471255007682193,0.0016000000000000014,0.001743559577416271,0.14285714285714285,7,432,83,299,356,230,251
V314,1.103246835630169,0.29368168690535484,0.0,0.03716303091306569,0.0027123377779339967,-0.0014000000000000013,0.003583294573433787,0.2,5,163,247,122,24,434,151
V315,0.4476818820014789,0.5035151540442196,0.016946976382902434,0.02080568523707077,0.0017214944662555102,0.0014000000000000013,0.0028354893757515675,0.2,5,265,20,191,249,245,151
V316,0.005995388543089159,0.9382893127166652,0.0,0.0,0.0016661639147891136,0.004400000000000004,0.0024979991993593614,0.14285714285714285,7,470,247,299,290,70,251
V317,0.03696072934940578,0.8475645607570027,0.0,0.0,0.0015502366439849222,-0.002200000000000002,0.0016613247725836163,0.1,10,424,247,299,354,471,401
