feature,anova_f,anova_p,mutual_information,l1_logistic_abs_coef,random_forest_importance,permutation_importance,permutation_importance_std,rfe_inverse_rank,rfe_rank,rank_ANOVA F-test,rank_Mutual Information,rank_L1 Logistic,rank_Random Forest,rank_Permutation Importance,rank_RFE
V044,3.1009097009970024,0.07840151284400612,0.007359056824515875,0.048255849620212656,0.0016790576016476762,0.001200000000000001,0.0031240998703626647,0.3333333333333333,3,60,108,89,280,263,51
V045,2.6093702759087116,0.10639182459394654,0.0,0.06463908176686421,0.0018211529326096444,0.0018000000000000017,0.0026000000000000025,0.3333333333333333,3,75,247,50,189,213,51
V046,0.5480872177460606,0.4591872962121264,0.0,0.00041477546834520565,0.0015173306446538643,-0.0026000000000000025,0.0025377155080899064,0.125,8,243,247,296,366,482,301
V047,3.181616767236745,0.07462274571007187,0.0,0.06480168207817098,0.001687190945623374,0.0018000000000000017,0.003026549190084314,0.3333333333333333,3,58,247,49,270,213,51
V048,0.002094289417471748,0.9635033985425673,0.0,0.02663804323956689,0.0016619252391296229,0.0016000000000000014,0.002653299832284322,0.3333333333333333,3,484,247,165,294,230,51
V049,28.444776244611305,1.0732531976524813e-07,0.0,0.2329573524571021,0.009516230845078211,0.018799999999999994,0.008352245207128411,0.5,2,8,247,2,9,6,2
V050,2.2104823399160423,0.13723358731363805,0.009932670212331907,0.04938055363481538,0.0020436080089226262,0.0038000000000000035,0.0026000000000000025,0.3333333333333333,3,95,67,86,90,89,51
V051,2.6781659035849036e-05,0.9958714027480181,0.012178950985539672,0.0,0.001690447608038507,0.0008000000000000007,0.002227105745132011,0.1,10,500,48,299,268,285,401
V052,0.35489362179598455,0.5514234303546253,0.008424346222572154,0.0,0.002199125378829039,0.001200000000000001,0.0025612496949731422,0.125,8,293,88,299,50,263,301
V053,0.13500056212794204,0.7133415171248308,0.0015686807700650007,0.0,0.001843931733650133,-0.0020000000000000018,0.0017888543819998333,0.1,10,369,212,299,174,463,401
V054,2.2866145670682068,0.13065242766467067,0.003341749295442842,0.10056528442445282,0.0012317193724735197,0.0020000000000000018,0.0033466401061363047,0.5,2,89,172,7,455,200,2
V055,0.6761282664291226,0.4110212544607,0.0017363185397263337,0.012619505301845805,0.0017254932742709135,0.002400000000000002,0.003072458299147446,0.16666666666666666,6,227,206,223,246,174,201
V056,5.647684672729339,0.01757216957847582,0.0,0.06936259587753948,0.002243731826958197,0.0026000000000000025,0.0028354893757515675,0.25,4,21,247,41,46,156,101
V057,3.549071156467404,0.059723884499132456,0.0,0.06731015568105489,0.002385395971574146,0.00020000000000000017,0.0044226688774992,0.3333333333333333,3,49,247,44,37,331,51
V058,0.36147352145836803,0.5477572189292518,0.015648452368342447,0.022523856719683974,0.00169244207688702,0.0050000000000000044,0.0031304951684997086,0.16666666666666666,6,291,29,188,267,52,201
V059,0.1111449823077696,0.7388793176299234,0.0,0.0,0.0015858501823679783,0.002400000000000002,0.0021540659228538035,0.14285714285714285,7,386,247,299,332,174,251
V060,0.06049170064489989,0.8057457311961994,0.00016008537753853247,0.0,0.0017245022787734528,0.0008000000000000007,0.001326649916142161,0.1,10,404,244,299,247,285,401
V061,1.3193176477508137,0.25085203957183755,0.0,0.07558382301754672,0.001868075483627705,0.0038000000000000035,0.002088061301782112,0.3333333333333333,3,147,247,32,161,89,51
V062,2.7747627614674433,0.09591760564167641,0.009025043440219704,0.08264602789959534,0.0013793920856412316,0.002400000000000002,0.0014966629547095778,0.5,2,69,82,24,427,174,2
V063,0.031862642866253274,0.8583475537848788,0.0026614831651547988,0.0,0.001491915651483744,0.0020000000000000018,0.0020000000000000018,0.125,8,426,183,299,385,200,301
V064,0.1687359248339478,0.6812817319403002,0.0,0.052779195346777184,0.0011937111202307827,0.0026000000000000025,0.0018000000000000015,0.5,2,357,247,79,457,156,2
V065,46.194897129202516,1.4084168238800684e-11,0.0,0.0,0.009332490048446362,0.009000000000000008,0.005385164807134509,0.5,2,4,247,299,10,16,2
V066,0.8264940782067758,0.3633979139807444,0.0,0.05868856170320656,0.0017566105010585313,0.0006000000000000005,0.002200000000000002,0.3333333333333333,3,200,247,63,219,299,51
V067,0.45574105088465,0.4996992676208144,0.011769442194425661,0.0,0.00202581441975168,0.003400000000000003,0.0015620499351813321,0.125,8,261,50,299,92,106,301
V068,0.0021653087547499907,0.9628901797941911,0.0012508588772508489,0.009486336635740649,0.0018061369831375762,0.0006000000000000005,0.003231098884280705,0.2,5,482,222,238,197,299,151
V069,1.0745521788091295,0.3000449140699447,0.0,0.0,0.0013907198124585775,0.0014000000000000013,0.0031048349392520077,0.1,10,167,247,299,423,245,401
V070,0.053036216397557186,0.8178853972420993,0.0,0.0,0.0014929855345529944,-0.00020000000000000017,0.002088061301782112,0.1,10,412,247,299,384,365,401
V071,0.05337095130039714,0.8173217229911656,0.0,0.0,0.0019436682474803073,0.0018000000000000017,0.003515679166249392,0.1,10,411,247,299,125,213,401
V072,0.134223608383856,0.714131222456793,0.004372054980893214,0.0026857364498909147,0.0013760137943611677,0.0014000000000000013,0.0028354893757515675,0.125,8,370,154,286,429,245,301
V073,0.7203284307725638,0.39613786976558424,0.0060420423116807065,0.00406993925502225,0.001658013165930082,0.0038000000000000035,0.003280243893371348,0.125,8,218,129,277,298,89,301
V074,2.520874470497357,0.11250649332750974,0.0,0.08157443587210905,0.0018618697969761504,0.0038000000000000035,0.004686149805543997,0.5,2,81,247,25,163,89,2
V075,2.413028824752592,0.12048772522530203,0.0,0.001611126571144783,0.001484034342464386,0.0,0.0028284271247461927,0.09090909090909091,11,86,247,290,388,345,451
V076,0.4463055036325082,0.5041718160294559,0.0,0.0,0.001644861627938576,0.002400000000000002,0.003322649545167233,0.09090909090909091,11,267,247,299,306,174,451
V077,4.597021190601536e-05,0.9945909543826484,0.007957271876894989,0.0,0.00142552843092025,-0.00020000000000000017,0.0028913664589601943,0.09090909090909091,11,498,97,299,409,365,451
V078,0.29355752175941824,0.5880101680938731,0.011403357072322429,0.0,0.0019709179638034645,0.0008000000000000007,0.0033704599092705466,0.14285714285714285,7,312,56,299,114,285,251
V079,0.029097852321989987,0.8645705682365036,0.019782399850953425,0.0013993138576689572,0.0018321092692907778,0.0038000000000000035,0.002088061301782112,0.16666666666666666,6,433,10,294,182,89,201
V080,0.5210912670345182,0.470461019156015,0.004368865516089393,0.0,0.0012939955562413835,-0.0018000000000000017,0.002088061301782112,0.09090909090909091,11,249,155,299,445,454,451
V081,0.049866544897584665,0.823318486362346,0.0,0.0,0.0015513620811946174,-0.0020000000000000018,0.0017888543819998333,0.09090909090909091,11,414,247,299,353,463,451
V082,0.045882685732938154,0.8304110501171229,0.0,0.0,0.0019199482880484424,0.0028000000000000026,0.003815756805667786,0.1111111111111111,9,418,247,299,140,136,351
V083,0.07623579746632796,0.78249343555591,0.00863346883321503,0.01620671467665172,0.0018691497403344167,-0.00040000000000000034,0.0021540659228538035,0.16666666666666666,6,398,85,209,157,377,201
V084,0.2845909244419478,0.5937671664296469,0.0,0.029849082033559397,0.001666738720046207,-0.0032000000000000028,0.0031240998703626647,0.25,4,317,247,150,289,490,101
V085,0.3673319773799702,0.5445310199637032,0.0,0.0,0.0018621098850690407,0.0018000000000000017,0.003155946767611903,0.09090909090909091,11,288,247,299,162,213,451
V086,3.313856685741018,0.0688476275692784,0.0,0.05676245037135922,0.0017393309926122462,0.0008000000000000007,0.0040199502484483595,0.25,4,54,247,69,234,285,101
V087,0.10226358484587625,0.7491634041286208,0.0,0.0,0.0011190200476609467,-0.0016000000000000014,0.001959591794226544,0.1,10,390,247,299,463,445,401
V088,0.7631846837206584,0.3824387023446649,0.0,0.006722481166672226,0.001667983290617369,-0.006200000000000006,0.0024413111231467426,0.2,5,212,247,258,286,500,151
V089,1.5194763520361305,0.21784377582216258,0.0,0.04994716269780025,0.002001646034107318,-0.002400000000000002,0.0029393876913398165,0.3333333333333333,3,132,247,85,99,476,51
V090,0.45430675644770874,0.5003747775461432,0.009049649783197555,0.0,0.0019707506558252976,0.0040000000000000036,0.0028284271247461927,0.1,10,262,81,299,115,84,401
V091,0.6892346114042219,0.4065240246992902,0.0,0.0,0.00016868403256076317,-0.0014000000000000013,0.0018000000000000017,0.1111111111111111,9,223,247,299,500,434,351
V092,1.0004305450190674,0.31732746836867154,0.0,0.011262689545264075,0.0016822014537220536,0.0020000000000000018,0.00268328157299975,0.14285714285714285,7,177,247,232,276,200,251
V093,0.22894071025957174,0.6323627422283286,0.0,0.0,0.0015095039831909192,-0.0016000000000000014,0.003979949748426483,0.09090909090909091,11,334,247,299,375,445,451
V094,0.05797821356389828,0.8097451770612988,0.0075470610094430235,0.0,0.001737554882641979,0.00040000000000000034,0.0024979991993593614,0.1,10,406,106,299,238,314,401
V095,0.2808481963007251,0.5962047011778654,0.0,0.002048290554953489,0.0013445619484897457,-0.0030000000000000027,0.002720294101747091,0.125,8,320,247,288,437,487,301
V096,1.1382631789614475,0.28614852199872803,0.0,0.014407501263477097,0.0017155338251127325,-0.0014000000000000013,0.001280624847486571,0.125,8,160,247,220,254,434,301
V097,0.005189116188068071,0.9425808499665692,0.009151946716570158,0.0,0.0011378779168818285,0.0014000000000000013,0.0018000000000000017,0.125,8,472,79,299,462,245,301
V098,0.00026876539462828905,0.9869216507170169,0.0,0.0,0.001821801113905352,0.00040000000000000034,0.002653299832284322,0.1111111111111111,9,494,247,299,187,314,351
V099,0.545788522555848,0.4601303994463998,0.007579499922009347,0.0,0.0017293631937957054,0.0006000000000000005,0.004476605857119883,0.1111111111111111,9,244,104,299,242,299,351
V100,0.15739919065289987,0.6916047646092103,0.023695987854603917,0.0,0.0018760094571183923,0.001200000000000001,0.003249615361854387,0.09090909090909091,11,359,6,299,155,263,451
V101,0.42039233191393,0.5168158496927655,0.0003526007326533076,0.0,0.001462204619124352,0.0028000000000000026,0.002561249694973142,0.1,10,274,236,299,397,136,401
V102,0.08938803129265681,0.7649876866670896,0.0,0.0014538168029604563,0.0014813962828898015,0.0020000000000000018,0.0017888543819998333,0.125,8,395,247,292,389,200,301
V103,0.11057799219861705,0.7395219411155408,0.0022737313849909846,0.0036317174286838636,0.001347059605809657,-0.0008000000000000007,0.0028565713714171423,0.09090909090909091,11,387,190,278,436,398,451
V104,0.8988849777758837,0.34319552049059315,0.0,0.04002751001696836,0.0015115170664592513,0.0014000000000000013,0.0018000000000000017,0.25,4,188,247,109,372,245,101
V105,0.3792405151098518,0.5380801247261411,0.0,0.0,0.002015112045992798,0.001200000000000001,0.0033704599092705466,0.1,10,284,247,299,95,263,401
V106,32.36878247088053,1.4633483951397527e-08,0.026756159596999396,0.0,0.013853104214665667,0.018599999999999985,0.011244554237496448,0.14285714285714285,7,6,4,299,4,7,251
V107,0.2779040319756099,0.5981368166989292,0.0,0.011969598130430865,0.0017303006177080604,0.0028000000000000026,0.00271293199325011,0.2,5,322,247,227,241,136,151
V108,0.5229263997414878,0.4696806684692442,0.0,0.0,0.001661743712228693,0.004400000000000004,0.002332380757938122,0.09090909090909091,11,248,247,299,295,70,451
V109,0.42013387629593774,0.5169447298415873,0.0,0.0,0.0017145240428816844,0.002400000000000002,0.003666060555964675,0.09090909090909091,11,275,247,299,255,174,451
V110,1.7902084145564086,0.18105302917339533,0.026483398145818793,0.0306729297284201,0.0014105719256361365,0.0028000000000000026,0.002561249694973142,0.16666666666666666,6,116,5,147,416,136,201
V111,0.3370197687643122,0.5616200083395304,0.0,0.0,0.0018215661626032325,-0.0010000000000000009,0.002720294101747091,0.09090909090909091,11,300,247,299,188,413,451
V112,1.341068401024681,0.24698404794348428,0.0,0.0,0.0015357132181360277,0.005600000000000005,0.003773592452822645,0.1111111111111111,9,144,247,299,361,42,351
V113,0.477372791796038,0.4896950107068347,0.0033204443648813253,0.0,0.0012806440088601822,0.0014000000000000013,0.0018000000000000017,0.1111111111111111,9,255,173,299,448,245,351
V114,0.04990895541632751,0.8232446119420046,0.0,0.0,0.001746001025892678,0.002200000000000002,0.0006000000000000006,0.1111111111111111,9,413,247,299,230,188,351
V115,1.5938255123514178,0.2069277557982081,0.0,0.019865003671991337,0.0017547300346575168,0.0026000000000000025,0.002374868417407586,0.125,8,127,247,194,225,156,301
V116,0.3088486077007063,0.5784498087643061,0.0015226979549445296,0.006985808514580107,0.0017389613871982715,0.001200000000000001,0.0025612496949731414,0.16666666666666666,6,308,214,257,236,263,201
V117,3.2583365719300232,0.07121166679842426,0.0,0.04211092730975102,0.0017804579656792519,0.0008000000000000007,0.002227105745132011,0.14285714285714285,7,57,247,104,206,285,251
V118,0.9172744094916715,0.33830751544989923,0.0,0.018032598797647917,0.0017739916012394108,0.002400000000000002,0.002800000000000002,0.2,5,186,247,203,209,174,151
V119,0.002108466613377758,0.9633801624115693,0.0,0.0,0.001956844383037504,-0.001200000000000001,0.003600000000000003,0.14285714285714285,7,483,247,299,120,424,251
V120,5.431805197642788,0.01987229665670939,0.0056445400912488175,0.0553829079945391,0.002204894541947713,-0.0038000000000000035,0.0027495454169735064,0.2,5,24,140,75,49,495,151
V121,2.7942102248711267,0.09476195998392993,0.00930099613595159,0.02482664754784529,0.0009432194749850126,0.0026000000000000025,0.001280624847486571,0.16666666666666666,6,67,74,175,477,156,201
V122,2.129222938314984,0.14467119218486477,0.0,0.02647966417961168,0.0015163982441980842,-0.0016000000000000014,0.0028000000000000026,0.125,8,99,247,168,367,445,301
V123,0.4433584884495282,0.5055827583866842,0.0,0.0,0.001893207255561054,0.00040000000000000034,0.0021540659228538035,0.1,10,268,247,299,145,314,401
V124,0.13140016028819013,0.7170230378662087,0.0,0.0056232225433878475,0.001812869686464689,0.0026000000000000025,0.0028354893757515675,0.125,8,372,247,265,194,156,301
V125,0.01891572944624718,0.8906222093055153,0.0,0.0,0.0019787310856837327,-0.001200000000000001,0.001326649916142161,0.09090909090909091,11,447,247,299,107,424,451
V126,1.3345950154330273,0.2481275386822854,0.0,0.028022171675731122,0.002196130410523396,0.009800000000000008,0.003026549190084314,0.16666666666666666,6,146,247,159,51,15,201
V127,0.35017694498782753,0.5540799316245081,0.009503215297602452,0.0047855704684178,0.0015109595113401966,0.0006000000000000005,0.0018000000000000015,0.125,8,297,71,272,373,299,301
V128,1.8525592011374818,0.17363952458881549,0.004158080629228067,0.05162617624741267,0.0020676563409725806,0.0030000000000000027,0.0034928498393145993,0.3333333333333333,3,112,160,81,82,128,51
V129,32.627036158074425,1.2839877627155043e-08,0.012826499288593585,0.0,0.009965410531656461,0.023399999999999976,0.007592101158440882,0.2,5,5,44,299,7,4,151
V130,1.1180695041055924,0.290462345095693,0.0007489628922781044,0.007441115509888985,0.002426411094391206,-0.001200000000000001,0.0018330302779823375,0.1111111111111111,9,162,230,252,32,424,351
V131,1.1507177734675318,0.28352848988852836,0.0,0.058452036399761514,0.001756197885369229,-0.005400000000000005,0.004200000000000004,0.3333333333333333,3,158,247,65,220,499,51
V132,0.28049079625216583,0.5964385525502138,0.0,0.005586667714020236,0.0017373294684744653,0.0,0.0021908902300206666,0.14285714285714285,7,321,247,266,239,345,251
V133,0.12474607364664622,0.7239801885487446,0.0,0.0,0.0018383180978128167,0.004800000000000004,0.0016000000000000014,0.1,10,375,247,299,178,54,401
V134,0.14834587552542516,0.700162133972646,0.004847983702092495,0.0,0.0009602243359109339,0.0008000000000000007,0.0034871191548325425,0.125,8,365,149,299,475,285,301
V135,0.6489380906159319,0.4205884541047558,0.0013500767243779244,0.0018114024912490808,0.0020904005733804183,-0.00040000000000000034,0.002653299832284322,0.14285714285714285,7,231,218,289,72,377,251
V136,0.29308196379794765,0.5883126279930309,0.0,0.014771672197764898,0.0017780503195476526,0.0038000000000000035,0.003280243893371348,0.2,5,313,247,218,208,89,151
V137,5.280475160893868,0.02166873099742535,0.0,0.07497470602429757,0.002593345316847168,-0.004600000000000004,0.0038000000000000035,0.5,2,25,247,34,27,498,2
V138,3.972251634462222,0.04639167833871601,0.003825167444706512,0.08357006607093675,0.002245382335982086,-0.002200000000000002,0.003736308338453884,0.5,2,42,165,23,45,471,2
V139,1.0178557493903782,0.3131503345960852,0.005660876676658155,0.03066759843889174,0.001587765820882283,-0.0010000000000000009,0.002569046515733028,0.16666666666666666,6,174,139,148,331,413,201
V140,2.425679115158095,0.11951987712526085,0.0037298660984985688,0.05165007377252534,0.0016273995737655278,0.005200000000000005,0.003249615361854387,0.25,4,85,166,80,315,48,101
V141,1.298535835623503,0.2546174372491735,0.0032955828214951133,0.08694980733075137,0.001935008595340392,0.0032000000000000028,0.002227105745132011,0.5,2,148,174,20,132,113,2
V142,0.15603936719526493,0.6928716324785329,0.0,0.011770376860753346,0.001823577409836887,0.00020000000000000017,0.0018867962264113225,0.16666666666666666,6,362,247,231,185,331,201
V143,0.625638334659902,0.4290536088868918,0.0,0.0,0.0012497610054367373,0.0006000000000000005,0.0022000000000000023,0.1,10,235,247,299,453,299,401
V144,0.24287027607098705,0.6221948461939836,0.0,0.0,0.0015092825800378914,0.002200000000000002,0.001400000000000001,0.125,8,331,247,299,376,188,301
V145,0.3383193878347992,0.5608665286175558,0.0,0.02567507916199625,0.0012955812435531985,-0.0014000000000000013,0.0015620499351813324,0.25,4,299,247,172,444,434,101
V146,0.5630619915874725,0.45311749821637387,0.0,0.0,0.0018684423013507498,-0.00040000000000000034,0.0021540659228538035,0.1,10,241,247,299,159,377,401
V147,1.7416532003722864,0.18708068271626785,0.020949631902850818,0.02183783185268715,0.0013999981535302943,-0.00040000000000000034,0.0014966629547095778,0.14285714285714285,7,121,8,189,419,377,251
V148,0.4041106872573117,0.5250467287391767,0.0,0.0194354049613887,0.001951252281150423,0.00040000000000000034,0.0032000000000000028,0.2,5,277,247,198,122,314,151
V149,0.02988180199380191,0.8627762032571158,0.002362295695208072,0.0,0.001370444193128772,0.006200000000000006,0.0027495454169735064,0.09090909090909091,11,431,189,299,431,34,451
V150,3.798357823781855,0.051442657094957656,0.011467224072780446,0.0554359250288516,0.002302935563642409,-0.0016000000000000014,0.0024979991993593614,0.25,4,45,55,74,41,445,101
V151,0.29907367854507166,0.58452479485126,0.001650370075565899,0.012060413895570695,0.0015586424840739182,0.0014000000000000013,0.0020099751242241798,0.16666666666666666,6,311,210,226,348,245,201
V152,0.010538503960705109,0.918245332755543,0.0,0.0,0.0017379241978239515,0.0030000000000000027,0.0036055512754639926,0.16666666666666666,6,457,247,299,237,128,201
V153,3.4483853005824465,0.06346066530635651,0.015523544656383947,0.07965314438884594,0.0016983021557257338,0.00040000000000000034,0.003072458299147446,0.5,2,50,30,28,266,314,2
V154,2.2829668533514362,0.13095957920122375,0.009294435434422432,0.03211187485289675,0.008240675245458426,0.006200000000000006,0.003736308338453884,0.5,2,90,75,140,12,34,2
V155,0.8943770299314764,0.34440827715896366,0.0,0.01908041405450011,0.0005325638683487896,0.0036000000000000034,0.002653299832284322,0.2,5,190,247,200,494,99,151
V156,1.3870156322545606,0.23904999561480064,0.0,0.01455219581874169,0.0017393067467095843,0.002400000000000002,0.0024979991993593614,0.16666666666666666,6,139,247,219,235,174,201
V157,0.15714362670307808,0.6918423740364524,0.0007680612646656648,0.0,0.0019695180029208844,0.0008000000000000007,0.0033704599092705466,0.1111111111111111,9,360,229,299,116,285,351
V158,0.25687079681524755,0.6123340827502946,0.00714828834651593,0.0,0.0016075537287969382,0.0,0.0017888543819998333,0.125,8,328,113,299,323,345,301
V159,0.7387408368566863,0.39016764190144754,0.0,0.027410729318882075,0.0017906368144930199,0.0026000000000000025,0.0022000000000000023,0.16666666666666666,6,216,247,164,201,156,201
V160,0.9862790791584178,0.32077375862146285,0.0,0.0468019612328993,0.001853661281527668,-0.0020000000000000018,0.0037947331922020587,0.25,4,178,247,93,168,463,101
V161,0.0003455331463981552,0.9851712154499599,0.013760065131430022,0.0,0.0015941050293536384,-0.0008000000000000007,0.002400000000000002,0.1,10,493,38,299,327,398,401
V162,3.4374536867683667,0.06388112719335422,0.0,0.07264819713247282,0.0016178531715305932,0.0,0.0025298221281347057,0.5,2,51,247,36,318,345,2
V163,0.8109495964353882,0.367948179166722,0.0033757570023191796,0.02348445414119438,0.0015705141099067817,0.008000000000000007,0.0028284271247461927,0.16666666666666666,6,203,171,179,346,20,201
V164,3.33440354669993,0.06799417594053364,0.0,0.0597346641062237,0.001311751358429586,0.0006000000000000005,0.003693237062523881,0.3333333333333333,3,53,247,58,442,299,51
V165,1.5012283056605402,0.22062687971957853,0.0,0.028935082677706277,0.0019349326071043367,0.0,0.0030983866769659363,0.2,5,134,247,153,133,345,151
V166,1.7921802384007288,0.18081304682839863,0.006161425436183698,0.07849647177322219,0.001648443066071135,0.0006000000000000005,0.0015620499351813321,0.5,2,115,124,30,301,299,2
V167,0.0008577319729252277,0.9766385708380443,0.0,0.008737380028504115,0.000711031379262512,0.001200000000000001,0.000979795897113272,0.2,5,490,247,242,486,263,151
V168,1.8237477195295453,0.17702076046825763,0.007751280559379126,0.04057457490723471,0.0013191435946229855,0.0032000000000000028,0.002400000000000002,0.25,4,113,101,107,440,113,101
V169,2.255792382941693,0.1332733220655674,0.0,0.08700372962560227,0.0006865282750526752,-0.0008000000000000007,0.002227105745132011,0.3333333333333333,3,92,247,19,487,398,51
V170,0.0015609042170050427,0.9684890990525349,0.001836108773665579,0.0,0.0014726563526826903,-0.00040000000000000034,0.0029393876913398165,0.09090909090909091,11,487,202,299,394,377,451
V171,0.12412370522756795,0.7246414895542983,0.0013298782160728884,0.0,0.0018795578711783734,-0.002400000000000002,0.001743559577416271,0.125,8,376,219,299,152,476,301
V172,0.01009579980057441,0.9199750420737227,0.0,0.0,0.0019261923411495081,0.0032000000000000028,0.0018330302779823377,0.09090909090909091,11,459,247,299,137,113,451
V173,0.8107898117170035,0.3679953620983784,0.0031897267251079775,0.00146109151989757,0.0021608057228747163,0.003400000000000003,0.0015620499351813324,0.1,10,204,175,291,55,106,401
V174,0.5936614863464149,0.4410978220515526,0.0010360105680251586,0.0,0.0006641798191383469,-0.00040000000000000034,0.0021540659228538035,0.1,10,238,226,299,488,377,401
V175,0.019537417840240785,0.8888508166299512,0.017126502544824618,0.0,0.001645485300292819,0.00040000000000000034,0.0021540659228538035,0.09090909090909091,11,445,19,299,303,314,451
V176,2.5504247067386587,0.11042274462209789,0.0,0.024961357329591236,0.002098738492458395,-0.0008000000000000007,0.003487119154832542,0.16666666666666666,6,79,247,174,70,398,201
V177,0.14976477057915566,0.6988014675379677,0.0,0.0,0.0018594989218018601,-0.00020000000000000017,0.0026000000000000025,0.1,10,364,247,299,164,365,401
V178,2.7689452081808406,0.09626628551723179,0.006369305438019168,0.01913807807454684,0.0014997807105234051,-0.0020000000000000018,0.0020000000000000018,0.14285714285714285,7,70,122,199,380,463,251
V179,0.023767460102857973,0.8774936409475123,0.010486005470105919,0.0,0.0016592422335367082,0.0008000000000000007,0.0018330302779823377,0.1,10,437,64,299,297,285,401
V180,0.5166845758644005,0.47234343741282747,0.0026049394199381126,0.02517283157098643,0.0017243717579067215,-0.001200000000000001,0.00271293199325011,0.2,5,250,184,173,248,424,151
V181,0.03714435282042855,0.8471910307888463,0.01315670265550617,0.0,0.0019347127632868577,-0.0010000000000000009,0.0042190046219458014,0.125,8,422,43,299,134,413,301
V182,0.13090717045678968,0.7175315609875582,0.00172711860739172,0.0,0.0020044710563510604,0.0028000000000000026,0.00271293199325011,0.09090909090909091,11,373,207,299,98,136,451
V183,0.11840956716476199,0.7308020953304345,0.0016887542727501703,0.01486430193332962,0.0017988491470457323,0.00040000000000000034,0.0029393876913398165,0.16666666666666666,6,381,208,217,198,314,201
V184,0.013112462689299598,0.9088452932282581,0.0015387902196635217,0.0,0.0017800598723586058,0.0030000000000000027,0.002720294101747091,0.16666666666666666,6,454,213,299,207,128,201
V185,3.8768896996599005,0.04909317718696464,0.002171222579166354,0.04570362250562992,0.002109065032577305,0.0016000000000000014,0.0021540659228538035,0.25,4,43,193,96,69,230,101
V186,1.1289973476037791,0.28811771523350654,0.0,0.02653860804255117,0.0016657839247202293,0.0038000000000000035,0.003026549190084314,0.125,8,161,247,167,291,89,301
V187,0.6556900186550018,0.4181820891614837,0.0,0.03296741730292098,0.001719367768531943,0.0028000000000000026,0.002400000000000002,0.25,4,228,247,136,251,136,101
V188,0.9762541445226718,0.3232449871629157,0.005884714903312549,0.01863698726467571,0.0018412003897937711,0.0016000000000000014,0.0032000000000000028,0.2,5,179,133,201,177,230,151
V189,0.4867157912042201,0.48547715847464645,0.0,0.0,0.001681608724954696,0.004800000000000004,0.003709447398198285,0.1111111111111111,9,253,247,299,277,54,351
V190,0.004757893207333913,0.9450144447825961,0.0,0.0,0.0010736940744256404,0.0010000000000000009,0.0018439088914585793,0.125,8,474,247,299,466,277,301
V191,0.3992359886840744,0.5275563748721609,0.001891144990028959,0.016005030383267733,0.001515879723057789,0.001200000000000001,0.0020396078054371156,0.125,8,280,199,212,368,263,301
V192,0.11387984131800004,0.7358049499577319,0.0068275902355301454,0.0,0.0019425091252190459,-0.0010000000000000009,0.0032557641192199438,0.16666666666666666,6,384,116,299,127,413,201
V193,0.012914861684390848,0.9095317623067696,0.0,0.0,0.0017466205582992722,0.002200000000000002,0.0022715633383201114,0.1111111111111111,9,455,247,299,229,188,351
V194,1.5046677743099777,0.2200990745044847,0.004375281774253725,0.041108666502186836,0.0021347896225845484,0.00040000000000000034,0.002332380757938122,0.25,4,133,153,106,59,314,101
V195,0.12154072013988425,0.7274061563971853,0.014550002141556106,0.0,0.0017855455911866928,0.001200000000000001,0.0032496153618543867,0.1111111111111111,9,380,33,299,202,263,351
V196,0.3516895185289691,0.5532254068289494,0.0,0.02798447148759489,0.001397390725911108,0.0016000000000000014,0.0021540659228538035,0.25,4,295,247,160,421,230,101
V197,4.101294485239569,0.042983120005577635,0.009262685073021082,0.05800256980002949,0.0012939197996923288,0.002200000000000002,0.0032802438933713478,0.25,4,41,77,66,446,188,101
V198,1.0307046962185638,0.31011613406405003,0.000571190018006984,0.034474981280793286,0.001297879526854763,0.0014000000000000013,0.001280624847486571,0.25,4,172,233,132,443,245,101
V199,0.6855454831538186,0.40778255771793986,0.0,0.0071838734719321855,0.0008575888455287954,0.0028000000000000026,0.0020396078054371156,0.125,8,224,247,254,483,136,301
V200,4.555151318595563,0.032941279749476034,0.0,0.05039705606667948,0.002046502644861749,0.004600000000000004,0.006575712889109444,0.2,5,32,247,84,89,59,151
V201,0.398899376203574,0.527730463944717,0.006314659568005254,0.028498511280774415,0.0013607259475835831,0.0028000000000000026,0.0031240998703626647,0.3333333333333333,3,281,123,156,433,136,51
V202,0.8499874588086047,0.3566671960877768,0.006580471701441493,0.008387772367020058,0.0015289086759177504,0.0028000000000000026,0.0027129319932501094,0.16666666666666666,6,198,119,246,363,136,201
V203,0.02205170204403841,0.8819646270912563,0.0,0.015008934768388148,0.0017136378187293082,0.006600000000000006,0.0035832945734337865,0.2,5,440,247,216,256,30,151
V204,0.20035907715605633,0.654479689741722,0.0,0.0,0.001557607598182256,-0.0006000000000000005,0.0039038442591886307,0.1,10,341,247,299,349,391,401
V205,5.616682842480549,0.01788478259948063,0.0,0.09333403513433748,0.0029007919672979308,-0.0018000000000000017,0.004237924020083422,0.5,2,22,247,12,21,454,2
V206,6.007539691705608,0.014330018517835502,0.003090922808548502,0.07148660366002452,0.000872817697455698,0.0040000000000000036,0.0030983866769659363,0.3333333333333333,3,18,178,37,481,84,51
V207,0.04405185932769221,0.8337785571671961,0.0,0.0054005693619511306,0.001943667459219863,-0.00040000000000000034,0.002332380757938122,0.2,5,420,247,269,126,377,151
V208,2.323033923036889,0.12762944577652488,0.0,0.053452965058078214,0.0010461472254548775,0.0032000000000000028,0.00271293199325011,0.3333333333333333,3,87,247,78,469,113,51
